name,year_of_release,developer,worldwide_sales,critic_score,user_score,critic_count,user_count
Etrian Odyssey,2007,"Lancarse, Atlus",0.32,75.0,8.5,30.0,37.0
Etrian Odyssey II: Heroes of Lagaard,2008,Atlus,0.26,82.0,8.9,17.0,24.0
Etrian Odyssey III: The Drowned City,2010,Atlus,0.32,77.0,8.0,23.0,21.0
Etrian Odyssey Untold: The Millennium Girl,2013,Atlus,0.26,80.0,8.2,41.0,89.0
Eureka Seven Vol. 2: The New Vision,2006,Namco Bandai Games America,0.02,40.0,7.0,17.0,5.0
EverBlue 2,2002,Arika,0.03,59.0,7.5,21.0,4.0
EverGrace,2000,From Software,0.36,59.0,7.8,12.0,4.0
EverQuest Online Adventures,2003,Sony Online Entertainment,0.42,74.0,8.2,22.0,33.0
EverQuest Online Adventures: Frontiers,2003,Sony Online Entertainment,0.18,77.0,8.5,16.0,17.0
Every Extend Extra,2006,Q Entertainment,0.11,74.0,7.3,45.0,9.0
Everybody Dance,2011,SCEE,0.12,66.0,6.8,5.0,8.0
Evil Dead: Hail to the King,2000,Heavy Iron Studios,0.27,51.0,6.0,8.0,7.0
Evil Dead: Regeneration,2005,Cranky Pants Games,0.21,68.0,8.5,26.0,8.0
Evil Genius,2004,Elixir Studios,0.01,75.0,8.3,51.0,106.0
Evolution Skateboarding,2002,Konami,0.26,44.0,6.7,14.0,9.0
Evolution Worlds,2002,Sting,0.08,63.0,8.0,20.0,10.0
Evolve,2015,Turtle Rock Studios,1.8000000000000003,75.66666666666667,4.566666666666666,116.0,2199.0
Excite Truck,2006,Monster Games Inc.,0.54,72.0,8.4,57.0,83.0
ExciteBots: Trick Racing,2009,Monster Games Inc.,0.26,77.0,8.6,29.0,26.0
ExerBeat,2010,Namco Bandai Games,0.29000000000000004,60.0,7.6,9.0,5.0
Exist Archive: The Other Side of the Sky,2015,Tri-Ace,0.1,70.0,8.100000000000001,21.0,28.0
Exit,2005,Taito Corporation,0.08,77.0,7.7,36.0,13.0
Exit DS,2008,Moss,0.10999999999999999,64.0,6.7,25.0,6.0
Extermination,2001,Deep Space,0.54,67.0,7.8,19.0,19.0
EyePet,2009,SCEE London Studio,0.99,70.0,8.2,35.0,20.0
EyeToy Play,2003,"SCEE, Zoe Mode",4.21,80.0,7.5,32.0,22.0
EyeToy Play 2,2004,SCEE,0.37,78.0,7.0,30.0,9.0
EyeToy: AntiGrav,2004,Harmonix Music Systems,0.43,71.0,7.8,38.0,5.0
EyeToy: Groove,2003,SCEE,0.18,73.0,8.0,34.0,5.0
EyeToy: Kinetic,2005,SCEE London Studio,0.18,78.0,8.3,32.0,11.0
E·O·E: Eve of Extinction,2002,Yuke's,0.1,57.0,7.2,28.0,6.0
F-Zero GX,2003,Amusement Vision,0.66,89.0,8.5,50.0,161.0
F-Zero: GP Legend,2003,Suzak,0.15,77.0,8.5,31.0,18.0
F-Zero: Maximum Velocity,2001,Nd Cube,1.04,86.0,8.5,19.0,22.0
F.E.A.R.,2006,Day 1 Studios,0.8800000000000001,78.5,7.35,75.0,195.0
F.E.A.R. 2: Project Origin,2009,Monolith Productions,1.08,78.33333333333333,7.8999999999999995,165.0,732.0
F.E.A.R. 3,2011,Day 1 Studios,1.06,74.33333333333333,6.666666666666667,153.0,662.0
F.E.A.R. Files,2007,"TimeGate Studios, Day 1 Studios",0.09,66.0,7.1,43.0,16.0
F.E.A.R. Perseus Mandate,2007,TimeGate Studios,0.01,61.0,7.3,27.0,106.0
F1 2001,2001,EA Sports,0.21,83.0,6.9,24.0,17.0
F1 2002,2002,EA Sports,0.15,76.5,7.1,18.0,14.0
F1 2009,2009,Sumo Digital,1.4100000000000001,68.5,7.2,52.0,44.0
F1 2010,2010,Codemasters Birmingham,2.2800000000000002,84.0,7.3,104.0,247.0
F1 2011,2011,Codemasters,2.41,74.8,6.88,149.0,230.0
F1 2012,2012,Codemasters,1.6600000000000001,81.66666666666667,7.1000000000000005,80.0,225.0
F1 2013,2013,Codemasters,0.85,78.0,6.449999999999999,51.0,73.0
F1 2014,2014,Codemasters Birmingham,0.74,62.333333333333336,4.333333333333333,53.0,113.0
F1 2015,2015,Codemasters,0.97,63.333333333333336,5.066666666666666,72.0,128.0
F1 Career Challenge,2003,Electronic Arts,0.09999999999999999,70.0,7.7,15.0,15.0
F1 Race Stars,2012,Codemasters,0.59,62.333333333333336,5.566666666666666,68.0,102.0
FIFA 06: Road to FIFA World Cup,2005,EA Canada,0.15000000000000002,62.0,6.0,39.0,34.0
FIFA 14,2013,EA Canada,15.25,86.4,5.04,132.0,2396.0
FIFA 15,2014,EA Sports,8.55,82.0,5.1000000000000005,89.0,1718.0
FIFA 16,2015,EA Sports,12.03,82.33333333333333,4.366666666666667,97.0,1651.0
FIFA 17,2016,"EA Sports, EA Vancouver",10.370000000000001,84.33333333333333,4.8999999999999995,103.0,759.0
FIFA 2001 Major League Soccer,2000,EA Sports,0.32,85.0,7.8,10.0,5.0
FIFA Manager 12,2011,Bright Future GmbH,0.04,72.0,3.9,11.0,24.0
FIFA Soccer,2005,EA Canada,0.7,76.0,7.45,68.0,101.0
FIFA Soccer 06,2005,EA Canada,5.0,79.0,7.666666666666667,88.0,89.0
FIFA Soccer 08,2007,EA Canada,8.620000000000001,77.83333333333333,6.8500000000000005,110.0,231.0
FIFA Soccer 09,2008,EA Canada,8.66,83.5,7.366666666666667,129.0,322.0
FIFA Soccer 09 All-Play,2008,EA Canada,0.88,80.0,8.4,18.0,22.0
FIFA Soccer 10,2009,EA Sports,8.41,82.2,6.6,163.0,426.0
FIFA Soccer 11,2010,EA Sports,11.03,80.2,7.18,156.0,507.0
FIFA Soccer 13,2012,Electronic Arts,14.940000000000001,76.33333333333333,5.55,133.0,1191.0
FIFA Soccer 2002,2001,EA Sports,0.9600000000000001,81.33333333333333,6.733333333333334,38.0,42.0
FIFA Soccer 2003,2002,EA Canada,4.119999999999999,87.33333333333333,7.3999999999999995,38.0,56.0
FIFA Soccer 2004,2003,EA Canada,0.89,82.33333333333333,7.433333333333334,41.0,44.0
FIFA Soccer 2005,2004,EA Canada,4.88,78.75,8.15,87.0,90.0
FIFA Street,2005,EA Canada,2.54,68.0,7.25,133.0,185.0
FIFA Street 2,2006,EA Canada,0.7300000000000001,57.2,6.9799999999999995,84.0,79.0
FIFA Street 3,2008,EA Canada,0.6300000000000001,63.0,6.9,85.0,37.0
FIFA World Cup Germany 2006,2006,EA Canada,1.55,74.16666666666667,7.3,138.0,94.0
FIFA World Cup: Germany 2006,2006,EA Canada,0.03,57.0,6.9,4.0,7.0
Fable,2004,Big Blue Box,2.6599999999999997,85.0,8.5,87.0,268.0
Fable II,2008,Lionhead Studios,4.27,89.0,6.5,95.0,2423.0
Fable III,2010,Lionhead Studios,5.42,77.5,5.95,127.0,1159.0
Fable: The Journey,2012,Lionhead Studios,0.28,61.0,4.8,70.0,80.0
Fable: The Lost Chapters,2005,Lionhead Studios,0.07,83.0,8.7,54.0,489.0
FaceBreaker,2008,EA Canada,0.36,53.5,5.05,94.0,39.0
FaceBreaker K.O. Party,2008,EA Canada,0.22,61.0,5.6,15.0,7.0
Fairy Fencer F,2013,Compile Heart,0.18999999999999997,65.0,7.4,31.0,50.0
Fairy Fencer F: Advent Dark Force,2015,Compile Heart,0.07,71.0,6.2,21.0,34.0
Fairytale Fights,2009,"Playlogic, The Game Factory",0.33,52.0,6.1,81.0,34.0
Falcon 4.0: Allied Force,2005,Lead Pursuit,0.02,90.0,8.6,7.0,37.0
Fallout 3,2008,Bethesda Game Studios,9.85,91.33333333333333,8.133333333333333,189.0,6015.0
Fallout 4,2015,Bethesda Game Studios,12.67,86.33333333333333,6.033333333333334,135.0,13489.0
Fallout: Brotherhood of Steel,2004,Interplay,0.12,65.0,4.8,64.0,74.0
Fallout: New Vegas,2010,Obsidian Entertainment,8.350000000000001,83.33333333333333,8.166666666666666,177.0,4015.0
Family Feud: 2012 Edition,2011,Ubisoft,0.11,47.0,5.3,4.0,6.0
Family Guy,2006,High Voltage Software,0.19999999999999998,51.0,6.3,14.0,15.0
Family Guy: Back to the Multiverse,2012,Heavy Iron Studios,0.51,39.5,5.7,37.0,82.0
Family Party: 30 Great Games,2008,Tamsoft,0.09999999999999999,42.0,1.0,10.0,7.0
Fantasia: Music Evolved,2014,Harmonix Music Systems,0.15000000000000002,77.0,7.5,48.0,67.0
Fantastic 4,2005,7 Studios,1.01,62.333333333333336,6.133333333333333,120.0,33.0
Fantastic Four: Rise of the Silver Surfer,2007,7 Studios,0.7599999999999999,40.4,5.74,87.0,71.0
Fantastic Pets,2011,Blitz Games Studios,0.41000000000000003,66.0,7.5,11.0,4.0
Fantasy Life,2012,"Level 5, Brownie Brown",1.13,73.0,8.6,51.0,209.0
Fantavision,2000,SCEJ,0.48,72.0,6.3,18.0,9.0
Far Cry,2004,Crytek,0.05,89.0,8.1,72.0,724.0
Far Cry 2,2008,Ubisoft Montreal,3.4799999999999995,85.0,6.3,158.0,1874.0
Far Cry 3,2012,Ubisoft Montreal,7.3100000000000005,89.66666666666667,8.433333333333332,114.0,5471.0
Far Cry 4,2014,Ubisoft Montreal,6.3100000000000005,82.33333333333333,7.3,115.0,3100.0
Far Cry Instincts,2005,Ubisoft Montreal,0.5800000000000001,85.0,5.7,56.0,73.0
Far Cry Instincts Evolution,2006,Ubisoft Montreal,0.08,78.0,6.3,15.0,32.0
Far Cry Instincts Predator,2006,Ubisoft Montreal,0.25,78.0,6.2,46.0,80.0
Far Cry Vengeance,2006,Ubisoft Montreal,0.07999999999999999,38.0,5.3,23.0,53.0
Far Cry: Primal,2016,Ubisoft Montreal,3.3000000000000003,75.66666666666667,5.833333333333333,136.0,1197.0
Farming Simulator 17,2016,Giants Software,1.07,66.5,8.35,22.0,32.0
Farming Simulator 2013,2012,Giants Software,1.48,46.0,5.533333333333334,41.0,150.0
Fast Racing Neo ,2016,Shin'en,0.01,81.0,8.5,46.0,151.0
Fat Princess: Fistful of Cake,2010,SuperVillain Studios,0.12000000000000001,74.0,8.7,33.0,25.0
Fatal Frame,2001,Tecmo,0.2,75.5,8.75,39.0,88.0
Fatal Frame II: Crimson Butterfly,2003,Tecmo,0.16,81.0,9.2,40.0,100.0
Fatal Frame II: Crimson Butterfly Director's Cut,2004,Tecmo,0.05,84.0,8.3,37.0,16.0
Fatal Frame III: The Tormented,2005,Tecmo,0.08,78.0,8.9,46.0,58.0
Fatal Frame: Maiden of Black Water,2014,Koei Tecmo Games,0.11,67.0,7.6,58.0,226.0
Fatal Fury: Battle Archives Volume 1,2006,SNK Playmore,0.03,68.0,8.3,22.0,4.0
Fatal Inertia,2007,Koei,0.13,61.0,4.2,30.0,19.0
Fate/Extra,2010,"Image Epoch, Imageepoch",0.32000000000000006,58.0,8.1,10.0,39.0
Fear Effect 2: Retro Helix,2001,Kronos Digital Entertainment,0.18000000000000002,84.0,8.9,15.0,17.0
Fear Factor: Unleashed,2004,DC Studios,0.14,30.0,3.0,15.0,4.0
Feel the Magic XY/XX,2004,Sonic Team,0.29000000000000004,75.0,8.1,55.0,18.0
Ferrari Challenge Trofeo Pirelli,2008,Eutechnyx,0.04,71.0,6.2,37.0,26.0
Ferrari F355 Challenge,2002,Sega AM2,0.060000000000000005,70.0,4.4,14.0,5.0
Field Commander,2006,"Sony Online Entertainment, Mind Control Software",0.15000000000000002,77.0,7.8,53.0,31.0
Fight Club,2004,Genuine Games,0.28,36.5,4.550000000000001,57.0,35.0
Fight Night 2004,2004,EA Sports,2.16,85.0,8.85,90.0,45.0
Fight Night Champion,2011,EA Canada,1.9,85.0,7.35,111.0,200.0
Fight Night Round 2,2005,EA Sports,1.63,87.66666666666667,8.566666666666668,117.0,71.0
Fight Night Round 3,2006,EA Chicago,5.540000000000001,82.0,8.379999999999999,190.0,372.0
Fight Night Round 4,2009,EA Canada,2.93,87.5,7.85,122.0,181.0
Fighter Maker 2,2002,Enterbrain,0.06999999999999999,58.0,7.8,11.0,5.0
Fighter Within,2013,Ubisoft,0.19999999999999998,23.0,3.0,39.0,211.0
Fighters Uncaged,2010,Ubisoft,0.6000000000000001,32.0,4.6,38.0,23.0
Fighting Fantasy: The Warlock of Firetop Mountain,2009,Big Blue Bubble Inc.,0.09,45.0,8.1,10.0,31.0
Final Fantasy Anniversary Edition,2007,TOSE,0.5800000000000001,67.0,7.7,34.0,47.0
Final Fantasy Anthology,1999,SquareSoft,0.8,80.0,8.1,14.0,28.0
Final Fantasy Chronicles,2001,TOSE,0.52,89.0,9.1,15.0,37.0
Final Fantasy Crystal Chronicles: Echoes of Time,2009,Square Enix,0.73,69.5,6.449999999999999,66.0,32.0
Final Fantasy Crystal Chronicles: Ring of Fates,2007,Square Enix,0.67,77.0,7.2,41.0,25.0
Final Fantasy Crystal Chronicles: The Crystal Bearers,2009,Square Enix,0.39,66.0,7.6,53.0,70.0
Final Fantasy Explorers,2014,Racjin,0.53,69.0,7.0,57.0,87.0
Final Fantasy Fables: Chocobo Tales,2006,h.a.n.d. Inc.,0.24,75.0,7.4,42.0,28.0
Final Fantasy Fables: Chocobo's Dungeon,2007,h.a.n.d. Inc.,0.21000000000000002,76.0,8.0,34.0,20.0
Final Fantasy II Anniversary Edition,2007,TOSE,0.49,63.0,7.1,31.0,24.0
Final Fantasy III,2006,Matrix Software,2.09,77.0,7.1,45.0,136.0
Final Fantasy IV,2007,Matrix Software,1.22,85.0,7.7,52.0,164.0
Final Fantasy IV Advance,2005,TOSE,0.6,85.0,7.3,30.0,70.0
Final Fantasy IV: The Complete Collection,2011,Bullets,0.55,77.0,7.5,41.0,80.0
Final Fantasy IX,2000,SquareSoft,5.31,94.0,8.9,22.0,779.0
Final Fantasy Tactics,1997,SquareSoft,2.45,83.0,8.2,12.0,190.0
Final Fantasy Tactics A2: Grimoire of the Rift,2007,Square Enix,0.75,80.0,6.9,47.0,106.0
Final Fantasy Tactics Advance,2003,Square Enix,2.13,87.0,7.8,44.0,212.0
Final Fantasy Tactics: The War of the Lions,2007,TOSE,1.15,88.0,8.0,41.0,238.0
Final Fantasy V Advance,2006,TOSE,0.27,83.0,7.2,25.0,75.0
Final Fantasy VI Advance,2006,TOSE,0.29000000000000004,92.0,8.4,25.0,190.0
Final Fantasy VII,1997,SquareSoft,9.719999999999999,92.0,9.2,20.0,1282.0
Final Fantasy VIII,1999,SquareSoft,7.86,90.0,8.6,24.0,644.0
Final Fantasy X,2001,SquareSoft,8.040000000000001,92.0,8.7,53.0,1056.0
Final Fantasy X / X-2 HD Remaster,2013,Virtuos,2.0700000000000003,85.5,8.5,64.0,555.0
Final Fantasy X-2,2003,SquareSoft,5.279999999999999,85.0,6.6,45.0,400.0
Final Fantasy XI,2006,Square Enix,0.19000000000000003,66.0,6.5,25.0,33.0
Final Fantasy XI: Chains of Promathia,2004,Square Enix,0.24,77.0,8.0,13.0,10.0
Final Fantasy XI: Treasures of Aht Urhgan,2006,Square Enix,0.23,87.0,7.1,4.0,13.0
Final Fantasy XI: Wings of the Goddess,2007,Square Enix,0.30000000000000004,63.0,5.8,4.0,5.0
Final Fantasy XII,2006,Square Enix,5.95,92.0,7.6,64.0,972.0
Final Fantasy XII: Revenant Wings,2007,"Square Enix, Think and Feel",1.3800000000000001,81.0,6.1,44.0,60.0
Final Fantasy XIII,2009,Square Enix,7.5,82.5,6.8,137.0,3022.0
Final Fantasy XIII-2,2011,Square Enix,3.36,79.0,6.449999999999999,103.0,975.0
Final Fantasy XIV: Heavensward,2015,Square Enix,0.15,86.0,7.65,34.0,480.0
Final Fantasy: Crystal Chronicles,2003,Square Enix,1.5,80.0,8.1,55.0,94.0
Final Fantasy: The 4 Heroes of Light,2009,Matrix Software,0.5800000000000001,71.0,7.1,49.0,38.0
Final Fight One,2001,Sun-Tec,0.2,82.0,7.8,16.0,8.0
Final Fight: Streetwise,2006,Capcom,0.07,42.5,5.1,65.0,15.0
Finding Nemo,2003,Traveller's Tales,0.8899999999999999,62.0,5.5,11.0,8.0
Fire Emblem,2003,Intelligent Systems,0.97,88.0,9.2,31.0,144.0
Fire Emblem: Awakening,2012,Intelligent Systems,2.02,92.0,9.1,72.0,1130.0
Fire Emblem: Path of Radiance,2005,Intelligent Systems,0.54,85.0,8.9,42.0,141.0
Fire Emblem: Radiant Dawn,2007,Intelligent Systems,0.5000000000000001,78.0,8.7,36.0,180.0
Fire Emblem: Shadow Dragon,2008,Intelligent Systems,0.6100000000000001,81.0,7.0,42.0,106.0
Fire Emblem: The Sacred Stones,2004,Intelligent Systems,0.8999999999999999,85.0,9.1,38.0,132.0
Fire Pro Wrestling Returns,2005,S-Neo,0.08,78.0,8.5,12.0,17.0
Fish Tycoon,2007,"LDW, Big Fish Games",0.26,46.0,7.0,9.0,6.0
Fisherman's Challenge,2003,Konami,0.05,67.0,7.5,7.0,4.0
Fishing Master,2007,Hudson Soft,0.31,58.0,8.1,9.0,9.0
Fishing Resort,2011,Prope,0.4,69.0,7.0,9.0,8.0
Fist of the North Star: Ken's Rage,2010,Koei,0.81,59.5,7.1,68.0,52.0
Fist of the North Star: Ken's Rage 2,2012,Koei,0.38,48.0,6.633333333333333,41.0,57.0
Flash Focus: Vision Training in Minutes a Day,2007,"Nintendo, Namco Bandai Games",3.82,59.0,4.0,22.0,4.0
FlatOut,2004,Bugbear,0.5599999999999999,70.5,8.35,69.0,37.0
FlatOut 2,2006,Bugbear,0.2,73.0,7.4,82.0,35.0
FlatOut: Head On,2008,Bugbear,0.29000000000000004,74.0,8.2,28.0,21.0
FlatOut: Ultimate Carnage,2007,Bugbear,0.11,79.5,8.25,60.0,193.0
FlingSmash,2010,Artoon,0.47000000000000003,48.0,6.8,26.0,13.0
Flipnic: Ultimate Pinball,2003,SCEI,0.060000000000000005,64.0,8.1,28.0,12.0
"Flower, Sun, and Rain",2008,h.a.n.d. Inc.,0.06,54.0,7.1,37.0,15.0
Folklore,2007,"Game Republic, JapanStudio",0.32000000000000006,75.0,8.2,55.0,145.0
Food Network: Cook or Be Cooked,2009,Red Fly Studio,0.43999999999999995,53.0,6.8,8.0,5.0
Football Manager 2010,2009,Sports Interactive,0.06999999999999999,87.0,9.0,33.0,262.0
Football Manager 2011,2010,Sports Interactive,1.26,85.0,8.4,23.0,77.0
Football Manager 2012,2011,Sports Interactive,1.51,84.0,8.0,45.0,172.0
Football Manager 2014,2013,Sports Interactive,0.63,85.0,5.5,41.0,275.0
Football Manager 2016,2015,Sega,0.35000000000000003,81.0,6.9,34.0,97.0
Football Manager 2017,2016,Sports Interactive,0.09999999999999999,81.0,4.3,41.0,57.0
Football Manager Handheld 2010,2009,Sports Interactive,0.35,69.0,6.9,10.0,7.0
Football Manager Handheld 2011,2010,Sports Interactive,0.41000000000000003,77.0,7.7,5.0,6.0
Ford Mustang: The Legend Lives,2005,Eutechnyx,0.29,58.0,7.3,5.0,8.0
Ford Racing,2001,Toolbox Design,0.8700000000000001,53.0,5.8,4.0,4.0
Ford Racing 2,2003,Razorworks Studios,1.0,51.0,8.0,5.0,8.0
Ford Racing 3,2004,Razorworks Studios,0.26,50.0,6.6,7.0,8.0
Ford Racing Off Road,2008,Razorworks,0.46,37.0,6.3,5.0,4.0
Forever Kingdom,2001,From Software,0.09,64.0,7.8,13.0,6.0
Forgotten Realms: Demon Stone,2004,Stormfront Studios,0.29,71.5,6.65,57.0,24.0
Formula One 2001,2001,Studio Liverpool,0.26,73.0,6.0,18.0,5.0
Fortune Street,2011,Marvelous AQL,0.4700000000000001,68.0,7.5,42.0,24.0
Forza Horizon,2012,"PLAYGROUND, Playground Games",1.97,85.0,8.4,83.0,431.0
Forza Horizon 2,2014,Playground Games,1.4000000000000001,86.0,8.2,85.0,977.0
Forza Horizon 3,2016,Playground Games,1.08,91.0,7.4,90.0,594.0
Forza Motorsport,2005,Microsoft Game Studios,1.05,92.0,7.6,73.0,213.0
Forza Motorsport 2,2007,Turn 10,4.06,90.0,8.3,66.0,381.0
Forza Motorsport 3,2009,Turn 10,5.49,92.0,8.0,90.0,516.0
Forza Motorsport 4,2011,Turn 10,4.569999999999999,91.0,8.2,83.0,617.0
Forza Motorsport 5,2013,Turn 10,2.1999999999999997,79.0,5.9,76.0,1095.0
Forza Motorsport 6,2015,Turn 10,1.7999999999999998,87.0,7.9,85.0,863.0
Fossil Fighters,2008,RED Entertainment,0.8899999999999999,70.0,7.9,17.0,15.0
Fossil Fighters: Champions,2010,"RED Entertainment, Artdink",0.67,68.0,7.1,8.0,11.0
Fossil Fighters: Frontier,2014,"RED Entertainment, Spike Chunsoft",0.36,57.0,4.8,25.0,19.0
Fracture,2008,Day 1 Studios,0.5,62.5,6.0,100.0,63.0
Fragile Dreams: Farewell Ruins of the Moon,2009,Tri-Crescendo,0.37,67.0,8.3,41.0,63.0
Freedom Fighters,2003,Io Interactive,0.8800000000000001,82.0,8.133333333333333,64.0,92.0
Freedom Wars,2014,"Dimps Corporation, SCE Japan Studio",0.65,73.0,8.3,39.0,265.0
Freedom Wings,2006,Beluga Computer,0.02,46.0,7.7,7.0,6.0
Freekstyle,2002,Page 44 Studios,1.0699999999999998,81.0,7.3,25.0,14.0
Freelancer,2003,Digital Anvil,0.05,85.0,9.0,39.0,185.0
Freestyle Metal X,2003,Deibus Studios,0.08,67.0,8.3,25.0,17.0
Frequency,2001,Harmonix Music Systems,0.18,83.0,9.0,26.0,29.0
Frogger 2: Swampy's Revenge,1999,Blitz Games,1.4300000000000002,77.0,7.9,4.0,8.0
Frogger 3D,2011,Alpha Unit,0.2,54.0,5.5,11.0,8.0
Frogger Beyond,2002,Konami,0.13,60.0,7.2,6.0,5.0
Frogger's Adventures: The Rescue,2003,Konami,0.32,59.0,8.5,12.0,6.0
Frogger: Ancient Shadow,2005,Hudson Soft,0.09999999999999999,54.0,4.0,17.0,5.0
Frogger: Helmet Chaos,2005,Konami Computer Entertainment Hawaii,0.11,66.0,6.4,18.0,5.0
Frogger: The Great Quest,2001,Konami,1.2299999999999998,32.0,4.6,6.0,29.0
From Russia With Love,2005,EA Redwood Shores,0.91,67.75,7.95,116.0,73.0
From The Abyss,2008,Sonic Powered,0.06,59.0,8.0,9.0,5.0
Front Mission,2007,Square Enix,0.04,72.0,8.9,19.0,9.0
Front Mission 4,2003,Square Enix,0.54,75.0,8.6,39.0,22.0
Front Mission Evolved,2010,Double Helix Games,0.55,59.666666666666664,5.733333333333333,107.0,102.0
Frontlines: Fuel of War,2008,Kaos Studios,0.5700000000000001,74.0,7.35,74.0,248.0
Fuel,2009,Asobo Studio,0.56,66.66666666666667,7.033333333333334,105.0,167.0
Fugitive Hunter: War on Terror,2003,Black Ops Entertainment,0.15,35.0,5.0,15.0,23.0
Full Auto,2006,Pseudo Interactive,0.22,70.0,7.8,63.0,36.0
Full Auto 2: Battlelines,2006,Pseudo Interactive,0.18,67.0,7.6,43.0,25.0
Full Spectrum Warrior,2004,Pandemic Studios,1.03,79.0,8.35,91.0,40.0
Full Spectrum Warrior: Ten Hammers,2006,Pandemic Studios,0.060000000000000005,71.0,8.0,26.0,5.0
Fullmetal Alchemist 2: Curse of the Crimson Elixir,2004,Racjin,0.26,67.0,8.4,21.0,20.0
Fullmetal Alchemist and the Broken Angel,2003,Racjin,0.5700000000000001,56.0,8.1,35.0,38.0
Fullmetal Alchemist: Dual Sympathy,2005,Natsume,0.09,58.0,7.3,15.0,12.0
Fullmetal Alchemist: Trading Card Game,2007,Magellan Interactive,0.01,61.0,7.5,7.0,4.0
FunkMaster Flex's Digital Hitz Factory,2003,Jester Interactive,0.03,71.0,8.9,6.0,10.0
Fur Fighters: Viggo's Revenge,2001,Bizarre Creations,0.14,64.0,7.3,15.0,37.0
Furu Furu Park,2007,"Taito Corporation, 505 Games",0.05,43.0,4.8,16.0,5.0
Futurama,2003,UDS,0.12,58.5,6.75,43.0,28.0
Future Tactics: The Uprising,2004,Zed Two Limited,0.06999999999999999,61.0,6.0,25.0,6.0
Fuzion Frenzy,2001,Blitz Games,1.21,70.0,6.9,28.0,16.0
Fuzion Frenzy 2,2007,Hudson Soft,0.16000000000000003,49.0,5.2,47.0,31.0
G-Force,2009,Eurocom Entertainment Software,0.8300000000000001,68.33333333333333,7.533333333333334,61.0,22.0
G.I. Joe: The Rise of Cobra,2009,Backbone Entertainment,0.72,45.5,4.825,111.0,45.0
G1 Jockey 3,2002,Koei/Inis,0.1,71.0,9.0,12.0,10.0
GRID,2008,Codemasters,1.9700000000000002,87.0,8.0,101.0,240.0
GRID 2,2013,Codemasters,0.7200000000000001,80.0,6.033333333333334,88.0,900.0
GRID Autosport,2014,Codemasters,0.29000000000000004,76.0,6.333333333333333,85.0,375.0
GT Advance 2: Rally Racing,2001,MTO,0.11,77.0,6.0,12.0,4.0
GT Legends,2005,SimBin,0.02,84.0,8.6,21.0,44.0
GT Pro Series,2006,MTO,0.53,41.0,4.0,15.0,21.0
GTR Evolution,2008,SimBin,0.02,83.0,8.2,19.0,63.0
Gabrielle's Ghostly Groove 3D,2011,Santa Entertainment,0.11,62.0,7.4,9.0,9.0
Gadget Racers,2000,Barnhouse Effect,0.08,67.0,7.4,10.0,7.0
Galactic Wrestling: Featuring Ultimate Muscle,2004,Aki Corp.,0.23000000000000004,61.0,8.0,12.0,5.0
Galerians: Ash,2002,Polygon Magic,0.06999999999999999,50.0,7.9,22.0,11.0
Galleon: Islands of Mystery,2004,Confounding Factor,0.03,67.0,7.0,40.0,10.0
Gallop Racer 2001,2001,Tecmo,0.16,71.0,9.1,11.0,56.0
Gallop Racer 2003: A New Breed,2002,Tecmo,0.2,68.0,8.5,16.0,15.0
Gallop Racer 2004,2004,Tecmo,0.060000000000000005,70.0,8.7,15.0,12.0
Gallop Racer 2006,2005,Tecmo,0.11,69.0,8.3,15.0,8.0
Game Party,2007,Midway,2.4800000000000004,25.0,4.3,8.0,26.0
Game Party 2,2008,Midway,1.88,29.0,4.6,7.0,7.0
Game Party in Motion,2010,Farsight Studios,0.5800000000000001,33.0,3.7,6.0,9.0
Game Party: Champions,2012,"Phosphor Games Studio, LLC",0.13,24.0,3.5,8.0,21.0
Game of Thrones,2012,"Cyanide, Cyanide Studios",0.5599999999999999,54.333333333333336,5.733333333333333,72.0,552.0
Gangs of London,2006,SCEE London Studio,0.95,52.0,6.7,47.0,18.0
Gardening Mama,2009,Taito Corporation,1.35,60.0,9.3,17.0,4.0
Gauntlet: Dark Legacy,2001,Midway,1.51,62.333333333333336,8.766666666666667,44.0,56.0
Gauntlet: Seven Sorrows,2005,Midway,0.59,60.0,6.75,74.0,24.0
Gears of War,2006,Epic Games,6.1,90.5,8.05,124.0,2862.0
Gears of War 2,2008,Epic Games,6.75,93.0,7.7,90.0,2739.0
Gears of War 3,2011,Epic Games,6.21,91.0,7.8,96.0,1504.0
Gears of War 4,2016,The Coalition,1.3399999999999999,84.0,6.2,96.0,815.0
Gears of War: Judgment,2013,Epic Games,1.5699999999999998,79.0,5.4,81.0,779.0
Gears of War: Ultimate Edition,2015,"Splash Damage, The Coalition",3.28,82.0,7.5,74.0,563.0
Geist,2005,n-Space,0.14,66.0,8.5,43.0,23.0
Gekido Advance: Kintaro's Revenge,2002,Naps Team,0.03,70.0,7.0,7.0,4.0
Generation of Chaos,2005,Idea Factory,0.05,60.0,7.7,29.0,18.0
Genji: Dawn of the Samurai,2005,Game Republic,0.23,74.0,8.3,49.0,19.0
Genji: Days of the Blade,2006,Game Republic,0.7500000000000001,55.0,5.8,46.0,30.0
Genma Onimusha,2002,Capcom,0.24000000000000005,83.0,8.6,27.0,10.0
Geometry Wars: Galaxies,2007,Kuju Entertainment,0.26,79.5,8.05,91.0,52.0
George of the Jungle and the Search for the Secret,2008,Crave,0.02,35.0,4.0,10.0,6.0
