name,year_of_release,developer,worldwide_sales,critic_score,user_score,critic_count,user_count
Age of Empires Online,2011,Gas Powered Games,0.060000000000000005,70.0,5.6,44.0,186.0
Age of Empires: Mythologies,2008,Griptonite Games,0.21,78.0,6.9,28.0,20.0
Age of Empires: The Age of Kings,2006,Backbone Entertainment,0.21999999999999997,80.0,7.9,38.0,59.0
Age of Mythology,2002,Ensemble Studios,0.09,89.0,8.9,31.0,484.0
Age of Mythology: The Titans,2003,Ensemble Studios,0.04,84.0,8.7,25.0,119.0
Aggressive Inline,2002,"Z-Axis, Ltd.",0.45,86.0,8.066666666666666,67.0,26.0
Air Conflicts: Secret Wars,2011,Games Farm,0.03,65.0,6.4,5.0,24.0
AirForce Delta Storm,2001,KCE Studios,0.19000000000000003,61.0,7.1,21.0,7.0
AirForce Delta Strike,2004,KCE Studios,0.09999999999999999,66.0,7.0,22.0,6.0
Airblade,2001,Criterion Games,0.23,70.0,5.8,18.0,12.0
Airborne Troops: Countdown to D-Day,2005,WideScreen Games,0.13,39.0,8.1,4.0,9.0
Airline Tycoon 2,2011,Kalypso,0.05,57.0,5.5,4.0,30.0
Alan Wake,2010,Remedy Entertainment,1.4100000000000004,83.0,8.05,130.0,2629.0
Alias,2004,Acclaim Studios Cheltenham,0.15,64.0,7.0,68.0,14.0
Alice in Wonderland,2010,Etranges Libellules,0.51,69.0,7.4,18.0,13.0
Alice: Madness Returns,2011,Spicy Horse,1.19,71.66666666666667,8.133333333333333,147.0,897.0
Alien Hominid,2004,The Behemoth,0.19,78.0,8.4,75.0,28.0
Alien Resurrection,2000,Argonaut Games,0.16,61.0,7.5,12.0,15.0
Alien Syndrome,2007,Totally Games,0.13,49.5,6.55,44.0,32.0
Alien: Isolation,2014,Creative Assembly,1.7699999999999998,79.33333333333333,8.1,115.0,2697.0
Aliens in the Attic,2009,Engine Software,0.05,58.0,6.0,7.0,5.0
Aliens versus Predator: Extinction,2003,Zono Inc.,0.26,65.0,8.05,36.0,51.0
Aliens vs Predator,2010,Rebellion,2.3000000000000003,65.66666666666667,7.333333333333333,156.0,1400.0
Aliens vs Predator: Requiem,2007,Rebellion,0.22,49.0,5.6,34.0,19.0
Aliens: Colonial Marines,2013,Gearbox Software,1.55,45.333333333333336,3.6333333333333333,112.0,1900.0
Aliens: Infestation,2011,"Gearbox Software, WayForward",0.16,76.0,8.2,43.0,29.0
All-Pro Football 2K8,2007,Visual Concepts,0.41000000000000003,74.0,7.05,45.0,73.0
All-Star Baseball 2002,2001,Acclaim,0.77,71.5,6.6,33.0,17.0
All-Star Baseball 2003,2002,Acclaim,1.18,81.0,8.166666666666666,46.0,30.0
All-Star Baseball 2004,2003,Acclaim,0.63,77.33333333333333,8.366666666666667,53.0,23.0
Alone in the Dark,2008,Eden Studios,0.75,49.75,5.300000000000001,92.0,368.0
Alone in the Dark: Inferno,2008,Eden Studios,0.13999999999999999,69.0,5.6,25.0,50.0
Alpha Protocol,2010,Obsidian Entertainment,0.86,66.33333333333333,7.2,142.0,829.0
Alter Echo,2003,Outrage Games,0.13,62.0,7.0,26.0,9.0
Alter Ego,1985,"Viva Media, Viva Media, LLC",0.04,59.0,5.8,9.0,19.0
Altered Beast: Guardian of the Realms,2002,3d6 Games,0.09000000000000001,63.0,4.8,13.0,4.0
Alundra,1997,Matrix Software,0.23,86.0,9.0,9.0,41.0
Alvin and the Chipmunks,2007,Sensory Sweep,0.13,31.5,4.05,9.0,26.0
Amazing Island,2004,Hitmaker,0.05,59.0,6.6,22.0,7.0
America's Army: Rise of a Soldier,2005,Secret Level,0.25,70.0,7.4,19.0,21.0
America's Army: True Soldiers,2007,Red Storm Entertainment,0.09,43.0,6.7,11.0,55.0
America's Test Kitchen: Let's Get Cooking,2010,Indies Zero,0.27,87.0,5.6,4.0,9.0
American Chopper,2004,Creat Studios,0.5700000000000001,45.5,6.7,10.0,22.0
American Idol,2003,Hothouse Creations,0.55,41.0,4.8,14.0,12.0
Amped 2,2003,Indie Built,0.25,80.0,7.7,34.0,20.0
Amped 3,2005,2K Sports,0.16,72.0,7.1,49.0,36.0
Amped: Freestyle Snowboarding,2001,Indie Built,0.82,78.0,9.0,30.0,20.0
Amplitude,2003,Harmonix Music Systems,0.18,86.0,8.8,35.0,26.0
Anarchy Reigns,2012,PlatinumGames,0.38,72.0,8.05,73.0,211.0
Angry Birds Star Wars,2013,Exient Entertainment,0.9600000000000001,52.0,4.525,18.0,198.0
Angry Birds Trilogy,2012,Exient Entertainment,1.05,63.666666666666664,3.9333333333333336,28.0,67.0
AniMates!,2007,Dreamcatcher,0.02,33.0,2.5,4.0,4.0
Anima - Gate of Memories,2016,"Edge Entertainment, Anima Project",0.02,52.0,7.9,13.0,34.0
Animal Crossing,2001,Nintendo,3.16,87.0,8.9,42.0,137.0
Animal Crossing: Amiibo Festival,2015,"Nintendo, Nd Cube",0.42000000000000004,46.0,4.4,20.0,173.0
Animal Crossing: City Folk,2008,Nintendo,4.620000000000001,73.0,7.6,50.0,119.0
Animal Crossing: Happy Home Designer,2015,Nintendo,3.05,66.0,6.9,60.0,106.0
Animal Crossing: New Leaf,2012,Nintendo,9.17,88.0,8.7,70.0,626.0
Animal Crossing: Wild World,2005,Nintendo,12.14,86.0,8.7,57.0,242.0
Anno 1701: Dawn of Discovery,2007,Sunflowers Interactive,0.13,78.0,7.5,14.0,19.0
Anno 2070,2011,"Blue Byte, Related Designs",1.42,83.0,7.0,33.0,493.0
Anno 2205,2015,Blue Byte,0.26,72.0,5.9,45.0,278.0
Antz Extreme Racing,2002,Empire Interactive,0.060000000000000005,33.0,6.85,9.0,18.0
Anubis II,2007,Data Design Interactive,0.06,19.0,2.7,5.0,28.0
Apache: Air Assault,2010,Gaijin Entertainment,0.39,66.66666666666667,6.666666666666667,50.0,61.0
Ape Escape,1999,SCEI,1.62,90.0,8.8,19.0,53.0
Ape Escape 2,2002,SCE Japan Studio,0.62,82.0,8.4,31.0,32.0
Ape Escape 3,2005,SCE Japan Studio,0.13,77.0,8.5,51.0,22.0
Ape Escape Academy,2004,Shift,0.33,51.0,5.8,48.0,4.0
Ape Escape: On the Loose,2005,"SCEA, Sims",0.6900000000000001,66.0,6.4,35.0,16.0
Apex,2003,Milestone S.r.l,0.13,74.0,9.1,26.0,7.0
Apollo Justice: Ace Attorney,2007,Capcom,0.99,78.0,8.1,48.0,84.0
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,2007,Creat Studios,0.06999999999999999,37.0,5.9,19.0,10.0
Aquaman: Battle for Atlantis,2003,TDK Mediactive,0.01,27.0,3.1,9.0,19.0
Aquapazza: Aquaplus Dream Match,2012,Examu,0.11,75.0,7.8,13.0,20.0
Ar Nosurge: Ode to an Unborn Star,2014,Gust,0.16,67.0,7.8,23.0,49.0
Ar tonelico Qoga: Knell of Ar Ciel,2010,Gust,0.23,61.0,5.4,27.0,101.0
Ar tonelico: Melody of Elemia,2006,Gust,0.1,71.0,7.7,30.0,43.0
Arc Rise Fantasia,2009,"Image Epoch, Imageepoch",0.19,64.0,7.8,26.0,43.0
Arc the Lad: End of Darkness,2004,Cattle Call,0.060000000000000005,59.0,4.2,24.0,10.0
Arc the Lad: Twilight of the Spirits,2003,Cattle Call,0.37,72.0,8.2,39.0,33.0
Arcana Heart,2007,Examu,0.16999999999999998,77.0,8.1,12.0,8.0
Arcana Heart 3,2011,Examu,0.19999999999999998,73.0,7.5,10.0,27.0
Arcania: Gothic 4,2010,Spellbound,0.29,63.5,4.800000000000001,46.0,359.0
