,name,critic_score,critic_count,user_score,user_count
152,Dragon Quest IX: Sentinels of the Starry Skies,87.0,65.0,8.8,197.0
153,Tekken 2,89.0,8.0,8.9,102.0
154,Destiny,76.0,95.0,6.1,5380.0
155,LEGO Star Wars: The Complete Saga,80.0,17.0,8.9,62.0
156,Cooking Mama,67.0,35.0,7.2,21.0
159,Assassin's Creed II,91.0,70.0,8.6,1202.0
160,Assassin's Creed,81.0,77.0,7.7,1074.0
161,Forza Motorsport 3,92.0,90.0,8,516.0
162,Super Mario Advance,84.0,19.0,7.8,41.0
163,Monster Hunter Freedom Unite,81.0,48.0,8.7,124.0
164,Batman: Arkham City,96.0,42.0,8.6,2162.0
165,Grand Theft Auto V,97.0,14.0,7.9,764.0
166,Mario Kart: Super Circuit,93.0,24.0,8.3,108.0
169,Crash Bandicoot: The Wrath of Cortex,66.0,22.0,7.1,156.0
170,Call of Duty: World at War,85.0,45.0,7.6,409.0
171,Uncharted 4: A Thief's End,93.0,113.0,7.9,7064.0
173,Final Fantasy XIII,83.0,83.0,7.3,2483.0
175,Final Fantasy IX,94.0,22.0,8.9,779.0
176,Assassin's Creed III,84.0,61.0,6.7,1196.0
177,Final Fantasy X-2,85.0,45.0,6.6,400.0
179,Call of Duty: Advanced Warfare,81.0,53.0,5.4,898.0
181,Assassin's Creed II,90.0,82.0,8.8,1305.0
185,New Super Mario Bros. U,84.0,70.0,8.1,733.0
186,Dragon Quest VIII: Journey of the Cursed King,89.0,63.0,8.8,245.0
188,Professor Layton and the Curious Village,85.0,72.0,8.6,147.0
190,FIFA Soccer 13,90.0,48.0,6.1,403.0
192,Diablo III,88.0,86.0,4,9629.0
193,Medal of Honor: Rising Sun,68.0,30.0,7.6,100.0
196,Guitar Hero II,92.0,69.0,8.5,112.0
197,Fable III,80.0,88.0,6.5,604.0
199,Resident Evil 5,84.0,76.0,7.5,667.0
200,The Legend of Zelda: Phantom Hourglass,90.0,57.0,8,416.0
202,FIFA Soccer 11,89.0,51.0,8,233.0
203,Resident Evil,91.0,8.0,9,266.0
204,Grand Theft Auto: Vice City Stories,86.0,50.0,8,150.0
205,Tony Hawk's Pro Skater,92.0,18.0,9.2,69.0
208,Guitar Hero III: Legends of Rock,82.0,24.0,8.2,46.0
209,Link's Crossbow Training,68.0,34.0,7.1,47.0
211,Fallout 3,93.0,84.0,8.5,1655.0
212,Uncharted: Drake's Fortune,88.0,66.0,8.1,2306.0
213,Madden NFL 06,88.0,29.0,8,121.0
218,StarCraft II: Wings of Liberty,93.0,82.0,8.2,3052.0
219,Assassin's Creed,81.0,40.0,7.3,769.0
220,God of War III,92.0,101.0,8.7,2633.0
221,Crash Team Racing,88.0,20.0,9,233.0
222,LEGO Star Wars: The Complete Saga,80.0,9.0,5.4,46.0
223,Driver 2,62.0,14.0,7.7,92.0
224,Batman: Arkham City,94.0,87.0,8.7,1472.0
227,Tony Hawk's Pro Skater 2,98.0,19.0,7.7,299.0
228,The Lord of the Rings: The Two Towers,82.0,32.0,8.2,78.0
229,Tomb Raider,91.0,13.0,8.6,147.0
